"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"2","0.1","red","radius","0.01","exp utility","100","0","25","18","56842.495782724094","52296.469877955395"
"1","0.1","red","radius","0.01","exp utility","100","0","25","18","62068.089030323","50904.84756372903"
"8","0.1","red","radius","0.01","exp utility","100","0","25","21","64053.40867128103","49335.90231514672"
"7","0.1","red","radius","0.01","exp utility","100","0","25","19","55809.9437253079","49369.428338866805"
"13","0.1","red","radius","0.01","exp utility","100","1","25","14","77867.54560194092","37943.32787971363"
"4","0.1","red","radius","0.01","exp utility","100","0","25","23","73312.15438084872","63054.406332786806"
"11","0.1","red","radius","0.01","exp utility","100","1","25","9","52477.77149691545","25447.23340401087"
"12","0.1","red","radius","0.01","exp utility","100","1","25","12","70363.98403293139","32146.44275934709"
"10","0.1","red","radius","0.01","exp utility","100","0","25","24","75787.00022230516","68441.86879825583"
"16","0.1","red","radius","0.01","exp utility","100","1","25","1","6720.4436264336855","2523.232362023229"
"2","0.1","red","radius","0.01","exp utility","100","0","25","19","56233.65513620835","55708.39167921138"
"6","0.1","red","radius","0.01","exp utility","100","0","25","24","69726.62754489944","62351.44699054153"
"9","0.1","red","radius","0.01","exp utility","100","0","25","18","55948.932777557035","44108.78192876884"
"1","0.1","red","radius","0.01","exp utility","100","0","25","19","65262.02995531433","52774.121312397976"
"3","0.1","red","radius","0.01","exp utility","100","0","25","19","61668.93133509807","51032.289763868044"
"7","0.1","red","radius","0.01","exp utility","100","0","25","20","58356.30677880805","52924.09343822403"
