"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"314","0.1","red","radius","0.01","exp utility","10","10","25","24","195291.55533275503"
"315","0.1","red","radius","0.01","exp utility","10","10","25","24","172274.53637288843"
"316","0.1","red","radius","0.01","exp utility","10","10","25","24","162041.73462246452"
"319","0.1","red","radius","0.01","exp utility","10","10","25","24","139243.5735858381"
"318","0.1","red","radius","0.01","exp utility","10","10","25","24","199561.9204640216"
"331","0.1","red","radius","0.01","exp utility","20","0","25","24","90911.14417437372"
"317","0.1","red","radius","0.01","exp utility","10","10","25","24","180961.19858039526"
"321","0.1","red","radius","0.01","exp utility","10","10","25","24","221247.09235498487"
"332","0.1","red","radius","0.01","exp utility","20","0","25","24","66441.97535502448"
"323","0.1","red","radius","0.01","exp utility","10","10","25","24","184681.0720302771"
"320","0.1","red","radius","0.01","exp utility","10","10","25","24","163520.59849900275"
"334","0.1","red","radius","0.01","exp utility","20","0","25","24","77040.92036337077"
"333","0.1","red","radius","0.01","exp utility","20","0","25","24","71490.81748214472"
"322","0.1","red","radius","0.01","exp utility","10","10","25","24","224084.68272898608"
"324","0.1","red","radius","0.01","exp utility","10","10","25","24","179352.57876867725"
"335","0.1","red","radius","0.01","exp utility","20","0","25","24","90450.41225880827"
"325","0.1","red","radius","0.01","exp utility","10","10","25","24","194123.6516984972"
"337","0.1","red","radius","0.01","exp utility","20","0","25","24","58554.38327883219"
"339","0.1","red","radius","0.01","exp utility","20","0","25","24","77697.5453037355"
"338","0.1","red","radius","0.01","exp utility","20","0","25","24","96626.21969902843"
