"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"1","50","1000","169","1"
"3","50","1000","198","1"
"5","50","1000","20","50"
"6","50","1000","4","50"
"6","50","1000","5","50"
"5","50","1000","21","50"
"1","50","1000","170","1"
"6","50","1000","6","50"
"3","50","1000","199","1"
"6","50","1000","7","50"
"5","50","1000","22","50"
"6","50","1000","8","50"
"1","50","1000","171","1"
"7","50","1000","0","50"
"6","50","1000","9","50"
"5","50","1000","23","50"
"7","50","1000","1","50"
"6","50","1000","10","50"
"7","50","1000","2","50"
"1","50","1000","172","1"
"6","50","1000","11","50"
"7","50","1000","3","50"
"5","50","1000","24","50"
"6","50","1000","12","50"
"7","50","1000","4","50"
"1","50","1000","173","1"
"7","50","1000","5","50"
"6","50","1000","13","50"
"5","50","1000","25","50"
"7","50","1000","6","50"
"6","50","1000","14","50"
"7","50","1000","7","50"
"1","50","1000","174","1"
"6","50","1000","15","50"
"5","50","1000","26","50"
"7","50","1000","8","50"
"7","50","1000","9","50"
"6","50","1000","16","50"
"1","50","1000","175","1"
"7","50","1000","10","50"
"5","50","1000","27","50"
"6","50","1000","17","50"
"7","50","1000","11","50"
"7","50","1000","12","50"
"1","50","1000","176","1"
"6","50","1000","18","50"
"5","50","1000","28","50"
"7","50","1000","13","50"
"6","50","1000","19","50"
"7","50","1000","14","50"
"1","50","1000","177","1"
"5","50","1000","29","50"
"6","50","1000","20","50"
"7","50","1000","15","50"
"1","50","1000","178","1"
"7","50","1000","16","50"
"6","50","1000","21","50"
"5","50","1000","30","50"
"7","50","1000","17","50"
"6","50","1000","22","50"
"1","50","1000","179","1"
"7","50","1000","18","50"
"5","50","1000","31","50"
"7","50","1000","19","50"
"1","50","1000","180","1"
"6","50","1000","23","50"
"7","50","1000","20","50"
"6","50","1000","24","50"
"5","50","1000","32","50"
"1","50","1000","181","1"
"7","50","1000","21","50"
"6","50","1000","25","50"
"1","50","1000","182","1"
"7","50","1000","22","50"
"5","50","1000","33","50"
"6","50","1000","26","50"
"7","50","1000","23","50"
"1","50","1000","183","1"
"5","50","1000","34","50"
"6","50","1000","27","50"
"7","50","1000","24","50"
"1","50","1000","184","1"
"7","50","1000","25","50"
"6","50","1000","28","50"
"5","50","1000","35","50"
"1","50","1000","185","1"
"7","50","1000","26","50"
"6","50","1000","29","50"
"1","50","1000","186","1"
"5","50","1000","36","50"
"7","50","1000","27","50"
"6","50","1000","30","50"
"1","50","1000","187","1"
"7","50","1000","28","50"
"5","50","1000","37","50"
"1","50","1000","188","1"
"6","50","1000","31","50"
"7","50","1000","29","50"
"1","50","1000","189","1"
"6","50","1000","32","50"
"5","50","1000","38","50"
"1","50","1000","190","1"
"7","50","1000","30","50"
"5","50","1000","39","50"
"1","50","1000","191","1"
"6","50","1000","33","50"
"7","50","1000","31","50"
"1","50","1000","192","1"
"6","50","1000","34","50"
"5","50","1000","40","50"
"1","50","1000","193","1"
"7","50","1000","32","50"
"6","50","1000","35","50"
"1","50","1000","194","1"
"5","50","1000","41","50"
"7","50","1000","33","50"
"1","50","1000","195","1"
"6","50","1000","36","50"
"7","50","1000","34","50"
"5","50","1000","42","50"
"1","50","1000","196","1"
"6","50","1000","37","50"
"1","50","1000","197","1"
"7","50","1000","35","50"
"5","50","1000","43","50"
"1","50","1000","198","1"
"6","50","1000","38","50"
"7","50","1000","36","50"
"1","50","1000","199","1"
"5","50","1000","44","49"
"6","50","1000","39","50"
"7","50","1000","37","50"
"8","50","1000","0","50"
"8","50","1000","1","50"
"5","50","1000","45","48"
"8","50","1000","2","50"
"6","50","1000","40","50"
"8","50","1000","3","50"
"7","50","1000","38","50"
"8","50","1000","4","50"
"8","50","1000","5","50"
"8","50","1000","6","50"
"5","50","1000","46","47"
"8","50","1000","7","50"
"6","50","1000","41","50"
"7","50","1000","39","50"
"8","50","1000","8","50"
"8","50","1000","9","50"
"8","50","1000","10","50"
"5","50","1000","47","47"
