"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"144","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","117551.05875902795","0.81","6941.33610240264","0.03364934963034755"
"150","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","131941.52666578372","0.9","7272.328281600831","0.030733934905782963"
"135","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","122284.09009033197","0.91","7350.005147682179","0.032819800013196246"
"154","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","127567.67158693999","0.92","7145.347785134052","0.03321041894061163"
"152","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","143937.63702712208","0.63","7261.144651344062","0.029513299849347887"
"156","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","130109.69544144267","0.75","7276.031465035593","0.031037411592888562"
"149","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","133170.12244507202","0.86","7416.033950159418","0.0320710535521359"
"157","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","128862.27160880045","0.86","7250.997009265732","0.029915480849819685"
"158","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","131468.57291869447","0.84","7078.069169153868","0.03417899870022931"
"151","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","124395.69202684831","0.9","7167.327264155433","0.02781170150853491"
"148","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","150413.50097730718","0.64","7208.976957756665","0.026443176592614887"
"159","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","125652.2381089039","0.86","7073.477912480967","0.03159852875356552"
"162","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","133536.91790019633","0.77","7336.852412568888","0.03227347791447941"
"155","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","131899.77720771448","0.78","7367.595498224327","0.034988167884090426"
"161","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","122189.35629600605","0.87","7003.91498918009","0.03245409581443122"
"142","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","8","24","126614.01258117486","0.9","7428.36428485919","0.03147362123836967"
"164","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","120714.71642987843","0.92","7262.1640443770775","0.03193097527403167"
"166","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","120913.63190329302","0.78","6670.27248382492","0.03030855620916492"
"168","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","123589.0071865095","0.83","7121.86289315689","0.032507600390460835"
"167","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","133285.0796394774","0.84","7057.181087652126","0.033054940798055814"
"169","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","130363.55645707647","0.82","7095.154245405921","0.03204887557867743"
"165","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","133191.03883004677","0.82","7304.494001803607","0.03012662871847741"
"170","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","9","24","132104.17691159493","0.81","6992.729830537733","0.031492422500179855"
